metric,current,target,stretch,operator,delta_to_target,delta_to_stretch,pass,status,claimability,evidence_state,sample_size,confidence_interval_95
public_attack_recall,0.946,0.936,0.95,>=,0,0.004,true,pass_internal_not_claimable,frozen cached public manifest; non-claimable without verified holdout manifest/separation (PUBLIC_SCREENING_CLAIMABLE_HOLDOUT was not set.),frozen_but_not_independent_evidence,1463,"{""low"":0.9332,""high"":0.9565}"
public_attack_precision,1,0.985,0.995,>=,0,0,true,pass_internal_not_claimable,frozen cached public manifest; non-claimable without verified holdout manifest/separation (PUBLIC_SCREENING_CLAIMABLE_HOLDOUT was not set.),frozen_but_not_independent_evidence,1384,"{""low"":0.9972,""high"":1}"
public_benign_fpr,0,0.002,0.001,<=,0,0,true,pass_internal_not_claimable,frozen cached public manifest; non-claimable without verified holdout manifest/separation (PUBLIC_SCREENING_CLAIMABLE_HOLDOUT was not set.),frozen_but_not_independent_evidence,502,"{""low"":0,""high"":0.0076}"
public_f1,0.9723,0.94,0.96,>=,0,0,true,pass_internal_not_claimable,frozen cached public manifest; non-claimable without verified holdout manifest/separation (PUBLIC_SCREENING_CLAIMABLE_HOLDOUT was not set.),frozen_but_not_independent_evidence,1965,"{""low"":0.9654,""high"":0.9784}"
legacy_safe_false_fpr,0,0.002,0.001,<=,0,0,true,pass_internal_not_claimable,frozen cached public manifest; non-claimable without verified holdout manifest/separation (PUBLIC_SCREENING_CLAIMABLE_HOLDOUT was not set.),frozen_but_not_independent_evidence,502,"{""low"":0,""high"":0.0076}"
critical_attack_miss_rate,0.0021,0.01,0.005,<=,0,0,true,pass_internal_not_claimable,frozen cached public manifest; non-claimable without verified holdout manifest/separation (PUBLIC_SCREENING_CLAIMABLE_HOLDOUT was not set.),frozen_but_not_independent_evidence,477,"{""low"":0.0004,""high"":0.0118}"
pattern_latency_p95_ms,0.317,3.8,2,<=,0,0,true,pass_internal_not_claimable,frozen cached public manifest; non-claimable without verified holdout manifest/separation (PUBLIC_SCREENING_CLAIMABLE_HOLDOUT was not set.),frozen_but_not_independent_evidence,1965,"{""low"":0.277,""high"":0.361}"
pattern_latency_p99_ms,1.034,15,5,<=,0,0,true,pass_internal_not_claimable,frozen cached public manifest; non-claimable without verified holdout manifest/separation (PUBLIC_SCREENING_CLAIMABLE_HOLDOUT was not set.),frozen_but_not_independent_evidence,1965,"{""low"":0.783,""high"":1.515}"
